hour	cf
1133	0.807
1134	0.775
1135	0.77
1136	0.762
1137	0.731
1138	0.726
1139	0.775
1140	0.836
1141	0.883
1142	0.899
1143	0.897
1144	0.889
1145	0.867
1146	0.84
1147	0.824
1148	0.817
1149	0.806
1150	0.798
1151	0.791
1152	0.754
1153	0.705
1154	0.674
1155	0.682
1156	0.714
1157	0.7
1158	0.72
1159	0.731
1160	0.694
1161	0.704
1162	0.65
1163	0.601
1164	0.569
1165	0.616
1166	0.652
1167	0.65
1168	0.641
1169	0.604
1170	0.545
1171	0.45
1172	0.433
1173	0.469
1174	0.472
1175	0.421
1176	0.374
1177	0.377
1178	0.383
1179	0.358
1180	0.325
1181	0.301
1182	0.286
1183	0.283
1184	0.308
1185	0.364
1186	0.432
1187	0.483
1188	0.613
1189	0.765
1190	0.837
1191	0.869
1192	0.881
1193	0.87
1194	0.855
1195	0.85
1196	0.827
1197	0.791
1198	0.782
1199	0.746
1200	0.752
1201	0.747
1202	0.75
1203	0.755
1204	0.754
1205	0.763
1206	0.774
1207	0.781
1208	0.776
1209	0.783
1210	0.758
1211	0.719
1212	0.65
1213	0.55
1214	0.563
1215	0.47
1216	0.395
1217	0.41
1218	0.456
1219	0.547
1220	0.596
1221	0.661
1222	0.698
1223	0.723
1224	0.713
1225	0.712
1226	0.678
1227	0.56
1228	0.536
1229	0.548
1230	0.548
1231	0.546
1232	0.548
1233	0.542
1234	0.547
1235	0.668
1236	0.749
1237	0.776
1238	0.781
1239	0.765
1240	0.753
1241	0.747
1242	0.77
1243	0.788
1244	0.786
1245	0.794
1246	0.818
1247	0.856
1248	0.897
1249	0.921
1250	0.934
1251	0.94
1252	0.943
1253	0.93
1254	0.902
1255	0.817
1256	0.746
1257	0.653
1258	0.618
1259	0.671
1260	0.74
1261	0.791
1262	0.804
1263	0.857
1264	0.89
1265	0.902
1266	0.892
1267	0.882
1268	0.889
1269	0.89
1270	0.898
1271	0.912
1272	0.919
1273	0.924
1274	0.932
1275	0.938
1276	0.935
1277	0.919
1278	0.889
1279	0.838
1280	0.774
1281	0.696
1282	0.692
1283	0.616
1284	0.598
1285	0.636
1286	0.663
1287	0.656
1288	0.575
1289	0.453
1290	0.38
1291	0.284
1292	0.241
1293	0.225
1294	0.209
1295	0.217
1296	0.262
1297	0.308
1298	0.342
1299	0.373
1300	0.387
1301	0.394
1302	0.374
1303	0.423
1304	0.465
1305	0.549
1306	0.599
1307	0.652
1308	0.63
1309	0.696
1310	0.683
1311	0.633
1312	0.601
1313	0.629
1314	0.658
1315	0.629
1316	0.565
1317	0.557
1318	0.538
1319	0.501
1320	0.455
1321	0.415
1322	0.395
1323	0.402
1324	0.407
1325	0.407
1326	0.426
1327	0.451
1328	0.451
1329	0.462
1330	0.399
1331	0.37
1332	0.411
1333	0.518
1334	0.557
1335	0.552
1336	0.581
1337	0.612
1338	0.636
1339	0.622
1340	0.613
1341	0.56
1342	0.507
1343	0.44
1344	0.395
1345	0.322
1346	0.242
1347	0.17
1348	0.138
1349	0.119
1350	0.1
1351	0.094
1352	0.096
1353	0.084
1354	0.064
1355	0.051
1356	0.062
1357	0.083
1358	0.103
1359	0.134
1360	0.154
1361	0.202
1362	0.3
1363	0.376
1364	0.413
1365	0.411
1366	0.39
1367	0.362
1368	0.333
1369	0.305
1370	0.263
1371	0.228
1372	0.212
1373	0.198
1374	0.168
1375	0.131
1376	0.099
1377	0.078
1378	0.07
1379	0.072
1380	0.061
1381	0.049
1382	0.042
1383	0.04
1384	0.041
1385	0.051
1386	0.082
1387	0.126
1388	0.176
1389	0.229
1390	0.266
1391	0.268
1392	0.215
1393	0.155
1394	0.118
1395	0.097
1396	0.092
1397	0.087
1398	0.075
1399	0.068
1400	0.066
1401	0.056
1402	0.045
1403	0.041
1404	0.043
1405	0.054
1406	0.084
1407	0.112
1408	0.128
1409	0.154
1410	0.166
1411	0.167
1412	0.146
1413	0.114
1414	0.131
1415	0.189
1416	0.232
1417	0.237
1418	0.223
1419	0.18
1420	0.15
1421	0.148
1422	0.129
1423	0.138
1424	0.171
1425	0.214
1426	0.272
1427	0.345
1428	0.385
1429	0.377
1430	0.404
1431	0.462
1432	0.462
1433	0.366
1434	0.283
1435	0.258
1436	0.196
1437	0.128
1438	0.133
1439	0.206
1440	0.204
1441	0.112
1442	0.068
1443	0.057
1444	0.12
1445	0.28
1446	0.352
1447	0.429
1448	0.598
1449	0.783
1450	0.903
1451	0.959
1452	0.962
1453	0.938
1454	0.952
1455	0.951
1456	0.954
1457	0.967
1458	0.972
1459	0.975
1460	0.981
1461	0.983
1462	0.98
1463	0.977
1464	0.971
1465	0.96
1466	0.942
1467	0.919
1468	0.897
1469	0.852
1470	0.779
1471	0.69
1472	0.571
1473	0.373
1474	0.241
1475	0.163
1476	0.1
1477	0.046
1478	0.02
1479	0.031
1480	0.072
1481	0.113
1482	0.181
1483	0.312
1484	0.456
1485	0.57
1486	0.593
1487	0.557
1488	0.523
1489	0.469
1490	0.398
1491	0.333
1492	0.276
1493	0.218
1494	0.193
1495	0.194
1496	0.176
1497	0.157
1498	0.169
1499	0.241
1500	0.332
1501	0.363
1502	0.345
1503	0.314
1504	0.336
1505	0.418
1506	0.471
1507	0.51
1508	0.516
1509	0.56
1510	0.57
1511	0.523
1512	0.481
1513	0.457
1514	0.422
1515	0.462
1516	0.491
1517	0.599
1518	0.703
1519	0.757
1520	0.791
1521	0.768
1522	0.713
1523	0.594
1524	0.562
1525	0.462
1526	0.314
1527	0.223
1528	0.181
1529	0.136
1530	0.123
1531	0.13
1532	0.165
1533	0.214
1534	0.268
1535	0.345
1536	0.458
1537	0.587
1538	0.709
1539	0.837
1540	0.819
1541	0.693
1542	0.447
1543	0.246
1544	0.15
1545	0.094
1546	0.054
1547	0.052
1548	0.095
1549	0.203
1550	0.408
1551	0.644
1552	0.746
1553	0.806
1554	0.842
1555	0.859
1556	0.86
1557	0.854
1558	0.842
1559	0.839
1560	0.844
1561	0.853
1562	0.864
1563	0.878
1564	0.886
1565	0.882
1566	0.869
1567	0.861
1568	0.854
1569	0.84
1570	0.842
1571	0.841
1572	0.829
1573	0.839
1574	0.835
1575	0.787
1576	0.695
1577	0.616
1578	0.561
1579	0.477
1580	0.423
1581	0.371
1582	0.283
1583	0.202
1584	0.126
1585	0.112
1586	0.143
1587	0.239
1588	0.36
1589	0.404
1590	0.341
1591	0.305
1592	0.311
1593	0.336
1594	0.397
1595	0.502
1596	0.498
1597	0.52
1598	0.517
1599	0.535
1600	0.851
1601	0.948
1602	0.906
1603	0.88
1604	0.866
1605	0.828
1606	0.804
1607	0.789
1608	0.783
1609	0.751
1610	0.657
1611	0.459
1612	0.415
1613	0.465
1614	0.439
1615	0.537
1616	0.628
1617	0.716
1618	0.776
1619	0.845
1620	0.879
1621	0.863
1622	0.817
1623	0.735
1624	0.618
1625	0.491
1626	0.297
1627	0.162
1628	0.128
1629	0.158
1630	0.2
